DrugBank ID,Synonyms
DB00001,"['[Leu1, Thr2]-63-desulfohirudin', 'Desulfatohirudin', 'Hirudin variant-1', 'Lepirudin', 'Lepirudin recombinant', 'R-hirudin']"
DB00002,"['Cetuximab', 'Cétuximab', 'Cetuximabum']"
DB00003,"['Deoxyribonuclease (human clone 18-1 protein moiety)', 'Dornasa alfa', 'Dornase alfa', 'Dornase alfa, recombinant', 'Dornase alpha', 'Recombinant deoxyribonuclease (DNAse)']"
DB00004,"['Denileukin', 'Denileukin diftitox', 'Interleukin-2/diptheria toxin fusion protein']"
DB00005,"['Etanercept', 'etanercept-szzs', 'etanercept-ykro', 'Recombinant human TNF', 'rhu TNFR:Fc', 'rhu-TNFR:Fc', 'TNFR-Immunoadhesin']"
DB00006,"['Bivalirudin', 'Bivalirudina', 'Bivalirudinum']"
DB00007,"['Leuprorelin', 'Leuprorelina', 'Leuproreline', 'Leuprorelinum']"
DB00008,"['PEG-IFN alfa-2A', 'PEG-Interferon alfa-2A', 'Peginterferon alfa-2a', 'Pegylated Interfeaon alfa-2A', 'Pegylated interferon alfa-2a', 'Pegylated interferon alpha-2a', 'Pegylated-interferon alfa 2a']"
DB00009,"['Alteplasa', 'Alteplase', 'Alteplase (genetical recombination)', 'Alteplase, recombinant', 'Alteplase,recombinant', 'Plasminogen activator (human tissue-type protein moiety)', 'rt-PA', 't-PA', 't-plasminogen activator', 'Tissue plasminogen activator', 'Tissue plasminogen activator alteplase', 'Tissue plasminogen activator, recombinant', 'tPA']"
DB00010,['Sermorelin']
DB00011,"['Interferon alfa-n1', 'Interferon alpha-n1 (INS)', 'WELL-FERON', 'WELLFERON']"
DB00012,"['Darbepoetin', 'Darbepoetin alfa', 'Darbepoetin alfa,recombinant', 'Darbepoetina alfa']"
DB00013,"['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urochinasi', 'Urokinase', 'Urokinasum', 'Uroquinasa']"
DB00014,"['Goserelin', 'Goserelina']"
DB00015,"['Human t-PA (residues 1-3 and 176-527)', 'Reteplasa', 'Reteplase', 'Reteplase, recombinant', 'Reteplase,recombinant']"
DB00016,"['E.P.O.', 'Epoetin alfa', 'Epoetin alfa rDNA', 'Epoetin alfa-epbx', 'Epoetin alfa, recombinant', 'Epoetin beta', 'Epoetin beta rDNA', 'Epoetin epsilon', 'Epoetin gamma', 'Epoetin gamma rDNA', 'Epoetin kappa', 'Epoetin omega', 'Epoetin theta', 'Epoetin zeta', 'Epoetina alfa', 'Epoetina beta', 'Epoetina dseta', 'Epoetina zeta', 'Epoétine zêta', 'Epoetinum zeta', 'Erythropoiesis stimulating factor', 'Erythropoietin (human, recombinant)', 'Erythropoietin (recombinant human)', 'ESF', 'SH-polypeptide-72']"
DB00017,"['Calcitonin (Salmon Synthetic)', 'Calcitonin salmon', 'Calcitonin salmon recombinant', 'Calcitonin-salmon', 'Calcitonin, salmon', 'Calcitonina salmón sintética', 'Recombinant salmon calcitonin', 'Salmon calcitonin']"
DB00018,['Interferon alfa-n3']
DB00019,"['Granulocyte colony-stimulating factor pegfilgrastim', 'peg-filgrastim', 'Pegfilgrastim', 'pegfilgrastim-apgf', 'pegfilgrastim-bmez', 'pegfilgrastim-cbqv', 'pegfilgrastim-jmdb']"
DB00020,"['Recombinant human granulocyte-macrophage colony stimulating factor', 'rGM-CSF', 'rHu GM-CSF', 'Sargramostim']"
DB00022,['Peginterferon alfa-2b']
DB00023,"['Asparaginase', 'Asparaginase (E. coli)', 'Colaspase', 'Escherichia coli L-asparaginase', 'L-asparaginase', 'L-asparagine amidohydrolase']"
DB00024,"['Recombinant Human Thyroid Stimulating Hormone', 'Recombinant thyrotropin alfa', 'rhTSH', 'rTSH', 'Thyrotropin alfa', 'Thyrotropin alpha']"
DB00025,"['Antihemophilic factor (recombinant)', 'Antihemophilic factor recombinant', 'Antihemophilic factor, human recombinant', 'Antihemophilic factor, recombinant', 'Coagulation factor VIII, recombinant', 'Factor VIII (rDNA)', 'Factor VIII (Recombinant)', 'Factor VIII recombin', 'Factor VIII, recombinant', 'Human Factor VIII (Recombinant)', 'Human factor VIII recombinant', 'Octocog alfa', 'rAHF', 'Recombinant antihemophilic factor VIII']"
DB00026,"['Anakinra', 'IL-1RA', 'Interleukin-1 receptor antagonist anakinra']"
DB00027,"['Bacillus brevis gramicidin D', 'Gramicidin', 'Gramicidin A', 'Gramicidin B', 'Gramicidin C', 'Gramicidina', 'Gramicidine']"
DB00028,"['Aerosolized pooled immune globulin', 'Human gammaglobulin', 'Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'Intravenous immune globulin (human)', 'Intravenous immunoglobulin (IVIg)']"
DB00029,"['Anisoylated plasminogen streptokinase activator complex', 'Anistreplase', 'APSAC']"
DB00030,"['High molecular weight insulin human', 'Human insulin', 'human insulin (rDNA)', 'Insulin (human)', 'Insulin human', 'Insulin human [rDNA origin]', 'Insulin Human Regular', 'Insulin human regular (rDNA)', 'Insulin human, rDNA origin', 'Insulin recombinant human', 'Insulin recombinant purified human', 'Insulin regular', 'Insulin, human', 'Insulina regular', 'Neutral insulin', 'Regular Insulin, human', 'Soluble insulin']"
DB00031,"['Tenecteplasa', 'Tenecteplase', 'TNK-tPA']"
DB00032,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
DB00033,"['IFN-gamma 1b', 'IFN-gamma-1b', 'Interferon gamma 1-b', 'Interferon gamma-1b', 'Interferon gamma-1b, recombinant', 'Interferon gamma-2a']"
DB00034,"['Interferon alfa-2a', 'Interferon alfa-2a (genetical recombination)', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
DB00035,"['1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin', '1-deamino-8-D-arginine vasopressin', '1-desamino-8-D-arginine vasopressin', 'dDAVP', 'Desmopresina', 'Desmopressin', 'Desmopressine', 'Desmopressinum']"
DB00036,"['Coagulation factor VIIa', 'Coagulation factor VIIa (recombinant)', 'Coagulation factor VIIa (recombinant)-jncw', 'Eptacog alfa', 'Eptacog alfa (activated)', 'rFVIIa']"
DB00038,"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
DB00039,"['24-163 fibroblast growth factor 7 (human)', 'Palifermin', 'Palifermina']"
DB00040,"['Glucagon', 'Glucagon (recombinant dna origin)', 'Glucagon recombinant', 'Glucagon, human', 'Glucagon, porcine', 'Glucagone', 'Glucagonum']"
DB00041,"['125-L-serine-2-133-interleukin 2 (human reduced)', 'Aldesleukin', 'Aldesleukina', 'ILT-101', 'ILT101', 'Interleukin-2 aldesleukin', 'Interleukin-2(2-133),125-ser', 'Recombinant human interleukin-2', 'Recombinant interleukin-2 human']"
DB00042,"['Botulin B', 'Botulinum antitoxin type B', 'Botulinum B toxin', 'Botulinum neurotoxin type B precursor', 'Botulinum toxin type B', 'BTX-B', 'RimabotulinumtoxinB', 'Toxina botulínica B']"
DB00043,['Omalizumab']
DB00044,"['Lutropin alfa', 'Lutropin alpha', 'Lutropina alfa']"
DB00045,"['Lipoprotein OspA antigen recombinant', 'Lipoprotein outer surface a borrelia burgdorferi antigen', 'OspA lipoprotein']"
DB00046,"['Insulin lispro', 'Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'insulin lispro-aabc', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA', 'Insulina lispro']"
DB00047,"['Insulin glargine', 'Insulin glargine (rDNA origin)', 'Insulin glargine recombinant', 'insulin glargine-yfgn', 'Insulina glargina']"
DB00048,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
DB00049,"['Rasburicasa', 'Rasburicase', 'Recombinant urate oxidase', 'Urate oxidase']"
DB00050,"['Cetrorelix', 'Cetrorelixum']"
DB00051,"['Adalimumab', 'Adalimumab (genetical recombination)', 'adalimumab-adaz', 'adalimumab-adbm', 'adalimumab-afzb', 'adalimumab-atto', 'adalimumab-bwwd', 'adalimumab-fkjp']"
DB00052,"['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)', 'Somatropina']"
DB00053,"['Imiglucerasa', 'Imiglucerase']"
DB00054,"['Abciximab', 'Abciximab (genetical recombination)', 'c7E3']"
DB00055,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
DB00056,['Gemtuzumab ozogamicin']
DB00057,"['Indium (111In) satumomab pendetide', 'Indium In 111 satumomab pendetide', 'Indium-111 satumomab pendetide']"
DB00058,"['.Alpha.-1 protease inhibitor', '.Alpha.1-proteinase inhibitor human', '122320-05-2', 'Alfa 1-proteinase inhibitor (human)', 'Alfa-1-antitripsina', 'Alfa1 antitrypsin', 'Alpha 1-antitrypsin', 'Alpha 1-Proteinase Inhibitor', 'Alpha 1-proteinase inhibitor (human)', 'Alpha 1-proteinase inhibitor human', 'Alpha 1-proteinase inhibitor, human', 'Alpha-1 protease inhibitor', 'Alpha-1 proteinase inhibitor (human)', 'Alpha-1-antiproteinase', 'Alpha-1-antitrypsin', 'Alpha-1-proteinase Inhibitor (human)', 'Alpha-1-proteinase inhibitor human', 'Alpha-1-proteinase Inhibitor, Human', 'Alpha-1-proteinase inhibitor,human', 'Alpha1-proteinase Inhibitor', 'Alpha1-proteinase inhibitor (human)', 'Alpha1-proteinase inhibitor human', 'Antileukoproteinase', 'API', 'Mucus proteinase inhibitor', 'Protease inhibitor wap4', 'Recombinant secretory leucocyte protease inhibitor', 'Recombinant secretory leukocyte protease inhibitor', 'Secretory leukocyte protease inhibitor (human)', 'SLPI', 'Wap four-disulfide core domain protein 4']"
DB00059,"['Peg-asparaginase', 'Peg/L-asparaginase', 'Pegaspargasa', 'Pegaspargase']"
DB00060,"['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a (recombinant)', 'Interferon beta-1a,recombinant', 'Interferon beta, recombinant human', 'Interferon-beta-1a', 'SNG001']"
DB00061,"['(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase', 'PEG-adenosine deaminase', 'pegADA', 'Pegademase', 'Pegademase bovine']"
DB00062,"['Albumin (human)', 'Albumin human', 'Albumin, blood', 'Albumin, human', 'Albumin, human-kjda', 'Human albumin', 'Human serum albumin', 'Serum albumin']"
DB00063,"['Eptifibatida', 'Eptifibatide', 'Integrelin', 'Intrifiban']"
DB00065,"['Infliximab', 'Infliximab (genetical recombination)', 'Infliximab-abda', 'Infliximab-axxq', 'Infliximab-dyyb', 'Infliximab-qbtx']"
DB00066,"['Folitropina alfa', 'Folitropina beta', 'Folitropina delta', 'Follicle stimulating hormone', 'Follitrophin alfa', 'Follitrophin alpha', 'Follitrophin beta', 'Follitropin alfa', 'Follitropin alfa/beta', 'Follitropin alpha', 'Follitropin beta', 'Follitropin delta', 'Follitropin gamma', 'Follotropin recombinant', 'FSH', 'FSH alpha', 'FSH-a', 'FSH-b', 'FSH-beta', 'Recombinant human follicle stimulating hormone beta', 'Recombinant human follicle-stimulating hormone (r-HFSH)', 'rFSH-alpha']"
DB00067,"['Vasopressin, unspecified', 'Vasopressina']"
DB00068,"['Interferon beta 1b (recombinant)', 'Interferon beta-1b', 'Interferon beta-1b,recombinant', 'Interferon-beta-1b', 'Recombinant interferon beta-1b']"
DB00069,"['IFN Alfacon-1', 'IFN-Con1', 'Interferon alfacon-1']"
DB00070,"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
DB00071,"['Insulin (pork)', 'Insulin porcine', 'Insulin purified porcine', 'Insulin purified pork', 'Insulin, porcine', 'Insulin, regular, pork', 'Porcine insulin']"
DB00072,"['RHUMAB HER2', 'Trastuzumab', 'trastuzumab-anns', 'trastuzumab-dkst', 'trastuzumab-dttb', 'trastuzumab-pkrb', 'trastuzumab-qyyp']"
DB00073,"['Rituximab', 'rituximab-abbs', 'rituximab-arrx', 'rituximab-pvvr']"
DB00074,['Basiliximab']
